위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.167211,33.324055,관광/숙박,103순례자의집
126.167298,33.323722,관광/숙박,노을이아름다운집
126.171473,33.321447,관광/숙박,갈매기의꿈
126.168411,33.307149,관광/숙박,섬풍경휴양펜션
126.180585,33.299458,문화/종교/예술,월성사
126.18461,33.301116,레져/스포츠,한경체육관
126.180448,33.301141,문화/종교/예술,천주교고산교회
126.18071,33.303008,문화/종교/예술,고산교회
126.180935,33.307516,관광/숙박,동성민박
126.18066,33.306941,레져/스포츠,한경헬스
126.430327,33.249751,관광/숙박,하늘궁전
126.42974,33.247534,관광/숙박,에버그린펜션
126.42899,33.246826,관광/숙박,홈스위트홈
126.43164,33.247368,문화/종교/예술,대포감리교회
126.432752,33.247076,관광/숙박,하얀집
126.434202,33.245418,관광/숙박,민트하우스
